name	side	R1_mean	R1_sd	R2_mean	R2_sd	pairs
T0E01	2	256.98392956959196	0.7436807529206203	561	0	pair2
T0E02	1	7	0	323.4257726558408	5.93150039827304	pair1
T0E02	2	205.51981613891726	52.645218366171164	561	0	pair2
T0E03	1	7	0	322.81572916666664	5.618186511562176	pair1
T0E03	2	246.97456492637215	7.271820513992726	1401	0	pair2
T0E04	1	7	0	324.4199082167832	3.6254134733109327	pair1
T0E04	2	257.00140825235883	0.7327342117007215	561	0	pair2
T0E05	1	7	0	323.7887447790723	4.243624727298346	pair1
T0E05	2	243.6830126215601	4.744160793218878	561	0	pair2
T0E06	1	7	0	324.7991865194654	3.6778546553438	pair1
T0E06	2	239.73679615888258	4.066337834835626	561	0	pair2
T0E07	1	7	0	324.0360922357135	4.20813110978311	pair1
T0E07	2	251.3371822141193	9.031989566855003	561	0	pair2
T0E08	1	7	0	324.5615465238151	3.927603382186382	pair1
T0E08	2	251.3176818089224	8.665023203667422	561	0	pair2
T0F01	1	7	0	324.80085508550854	4.603259512943778	pair1
T0F01	2	242.15313765182185	20.780550735449467	561	0	pair2
T0F02	1	7	0	324.1897106109325	3.4701403620591886	pair1
T0F02	2	256.9979020979021	0.682799128446105	561	0	pair2
T0F03	1	7	0	324.2992198256081	2.979902748335406	pair1
T0F03	2	257	0	561	0	pair2
T0F04	1	7	0	324.19896776911736	5.7805941851578915	pair1
T0F04	2	249.1531339031339	11.43724068809526	561	0	pair2
T0F05	1	7	0	322.86385516952697	6.2437650790765185	pair1
T0F05	2	251.70778751933986	9.43609762119493	561	0	pair2
T0F06	1	7	0	324.2237907638433	2.7558597243283565	pair1
T0F06	2	257	0	561	0	pair2
T0F07	1	7	0	324.4295447172056	2.493943526539655	pair1
T0F07	2	257	0	561	0	pair2
T0F08	1	7	0	323.14045643153526	6.127427686906946	pair1
T0F08	2	246.49769207098163	6.401098833587004	561	0	pair2
T0G01	1	7	0	324.4921689606075	2.1574568474987585	pair1
T0G01	2	257	0	561	0	pair2
T0G02	1	7	0	324.27194656488547	4.562173809211025	pair1
T0G02	2	210.82838317283324	53.91260505156495	561	0	pair2
T0G03	1	7	0	325.9282082324455	3.05244205978982	pair1
