refID	APD3	CAMP	DBAASP	dbAMP	DRAMP	LAMP2	SATPdb
fAMP0005039	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005397	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004630	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004890	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004235	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004771	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0010842	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0002221	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0008915	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0005531	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005717	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004069	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005823	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0013248	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0006825	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0005860	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005555	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004329	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004134	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004792	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004408	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0003171	NA	NA	antibacterial	antibacterial	antibacterial	antibacterial	NA
fAMP0004492	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005808	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0006198	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0009775	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0004773	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0006390	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0017085	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017086	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017087	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017088	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017089	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0010947	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009935	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0007578	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0006914	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011804	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0010372	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009902	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011792	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0013534	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0017092	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017093	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0008035	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011568	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012637	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009810	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0005522	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0007463	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0006904	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0004463	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005829	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0006061	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0006401	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004141	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005429	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005858	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005689	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005382	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0011144	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0004847	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005600	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0006355	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004362	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004833	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004088	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0006368	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0011204	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0005624	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005001	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004421	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0004948	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0005874	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0006700	NA	NA	antibacterial	antibacterial	antibacterial	NA	NA
fAMP0006451	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011694	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0006012	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011350	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012428	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0013143	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012293	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012561	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012641	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012427	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0007092	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0006067	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008885	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0002960	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0013630	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008113	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0001371	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0000797	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0004250	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0005769	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012694	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0004631	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0005754	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011995	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0013601	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0010761	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0013323	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012297	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0010948	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0013117	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0010727	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0007365	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011996	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008682	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009136	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0007874	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0006939	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012812	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009980	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008479	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008399	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0007971	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0013120	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011124	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0017094	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017095	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017096	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0000031	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009741	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012530	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0007299	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012159	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0013588	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011430	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011297	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009768	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0004937	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012396	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0000942	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012697	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0007418	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011908	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012042	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0010783	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0006626	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011251	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0017097	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0010143	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0010813	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011121	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009889	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0010235	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0012655	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0007812	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0017098	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017099	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017100	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017101	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017102	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017103	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017104	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0017105	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0009364	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0017106	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0010933	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008428	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008884	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008006	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0007473	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008159	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0007716	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009323	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011668	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0010831	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009625	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0017107	NA	NA	antibacterial	NA	NA	NA	NA
fAMP0013303	NA	NA	antibacterial	NA	NA	antibacterial	NA
